,Player,Age,PPG,delta
0,Aaron Miller,22,2.55,1
1,Aaron Miller,23,2.55,1
2,Aaron Miller,24,2.55,1
3,Aaron Miller,25,2.55,0
4,Aaron Miller,26,-0.1499999999999999,0
5,Aaron Miller,27,1.4500000000000002,0
6,Aaron Miller,28,0.04999999999999982,0
7,Aaron Miller,29,2.6500000000000004,0
8,Aaron Miller,30,3.8499999999999996,0
9,Aaron Miller,31,-0.75,0
10,Aaron Miller,32,-1.45,0
11,Aaron Miller,34,-1.15,0
0,Aaron Ward,22,-0.27333333333333343,1
1,Aaron Ward,23,-0.27333333333333343,1
2,Aaron Ward,24,-0.27333333333333343,0
3,Aaron Ward,25,0.5266666666666664,0
4,Aaron Ward,26,-0.4733333333333334,0
5,Aaron Ward,27,-1.6733333333333333,0
6,Aaron Ward,28,0.12666666666666648,0
7,Aaron Ward,29,1.3266666666666667,0
8,Aaron Ward,30,-0.5733333333333335,0
9,Aaron Ward,31,0.12666666666666648,0
10,Aaron Ward,33,1.7266666666666666,0
11,Aaron Ward,34,0.9266666666666667,0
0,Adam Burt,22,-0.3153846153846156,0
1,Adam Burt,23,1.2846153846153845,0
2,Adam Burt,24,0.08461538461538476,0
3,Adam Burt,25,0.6846153846153844,0
4,Adam Burt,26,1.1846153846153844,0
5,Adam Burt,27,0.7846153846153845,0
6,Adam Burt,28,0.2846153846153845,0
7,Adam Burt,29,0.3846153846153846,0
8,Adam Burt,30,-0.8153846153846154,0
9,Adam Burt,31,-0.3153846153846156,0
10,Adam Burt,32,-0.3153846153846156,1
11,Adam Burt,33,-0.3153846153846156,1
12,Adam Burt,34,-0.3153846153846156,1
0,Adam Foote,22,-1.8684210526315788,0
1,Adam Foote,23,-1.5684210526315785,0
2,Adam Foote,24,1.0315789473684212,0
3,Adam Foote,25,1.831578947368421,0
4,Adam Foote,26,0.13157894736842124,0
5,Adam Foote,27,1.5315789473684212,0
6,Adam Foote,28,0.6315789473684217,0
7,Adam Foote,29,-0.8684210526315788,0
8,Adam Foote,30,2.4315789473684215,0
9,Adam Foote,31,4.43157894736842,0
10,Adam Foote,32,3.031578947368421,0
11,Adam Foote,34,-0.46842105263157885,0
0,Adam McQuaid,22,2.7600000000000007,1
1,Adam McQuaid,23,2.7600000000000007,1
2,Adam McQuaid,24,2.7600000000000007,0
3,Adam McQuaid,25,0.9600000000000004,0
4,Adam McQuaid,26,-1.1399999999999997,0
5,Adam McQuaid,28,-0.33999999999999964,0
