,Player,Age,PPG,delta
0,Aaron Broten,22,0.4166666666666665,0
1,Aaron Broten,23,-1.5833333333333335,0
2,Aaron Broten,24,0.7166666666666663,0
3,Aaron Broten,25,-0.18333333333333357,0
4,Aaron Broten,26,3.316666666666667,0
5,Aaron Broten,27,4.016666666666666,0
6,Aaron Broten,28,0.5166666666666666,0
7,Aaron Broten,29,-1.0833333333333335,0
8,Aaron Broten,30,-1.0833333333333335,0
9,Aaron Broten,31,-1.0833333333333335,1
10,Aaron Broten,32,-1.0833333333333335,1
11,Aaron Broten,33,-1.0833333333333335,1
12,Aaron Broten,34,-1.0833333333333335,1
0,Ab McDonald,22,0.27857142857142847,0
1,Ab McDonald,23,-1.4214285714285713,0
2,Ab McDonald,24,0.27857142857142847,0
3,Ab McDonald,25,1.1785714285714288,0
4,Ab McDonald,26,2.7785714285714285,0
5,Ab McDonald,27,1.4785714285714286,0
6,Ab McDonald,28,-2.1214285714285714,0
7,Ab McDonald,29,-1.3214285714285714,0
8,Ab McDonald,31,1.4785714285714286,0
9,Ab McDonald,32,1.7785714285714285,0
10,Ab McDonald,33,3.678571428571429,0
11,Ab McDonald,34,3.678571428571429,1
0,Ace Bailey,22,-2.25,0
1,Ace Bailey,23,-0.7500000000000001,0
2,Ace Bailey,24,0.1499999999999999,0
3,Ace Bailey,25,0.75,0
4,Ace Bailey,26,1.9499999999999997,0
5,Ace Bailey,27,-0.45000000000000007,0
6,Ace Bailey,28,1.5499999999999998,0
7,Ace Bailey,29,-0.45000000000000007,0
8,Ace Bailey,30,-0.45000000000000007,1
9,Ace Bailey,31,-0.45000000000000007,1
10,Ace Bailey,32,-0.45000000000000007,1
11,Ace Bailey,33,-0.45000000000000007,1
12,Ace Bailey,34,-0.45000000000000007,1
0,Adam Creighton,22,0.02857142857142847,0
1,Adam Creighton,23,1.0285714285714285,0
2,Adam Creighton,24,3.628571428571428,0
3,Adam Creighton,25,2.0285714285714285,0
4,Adam Creighton,26,0.22857142857142865,0
5,Adam Creighton,27,0.02857142857142847,0
6,Adam Creighton,28,-0.6714285714285715,0
7,Adam Creighton,29,1.4285714285714284,0
8,Adam Creighton,30,-0.5714285714285716,0
9,Adam Creighton,31,-0.5714285714285716,1
10,Adam Creighton,32,-0.5714285714285716,1
11,Adam Creighton,33,-0.5714285714285716,1
12,Adam Creighton,34,-0.5714285714285716,1
0,Adam Graves,22,-3.3937500000000003,0
1,Adam Graves,23,1.7062499999999998,0
2,Adam Graves,24,2.20625,0
3,Adam Graves,25,6.5062500000000005,0
4,Adam Graves,26,0.40625,0
5,Adam Graves,27,1.8062499999999995,0
6,Adam Graves,28,3.5062499999999996,0
7,Adam Graves,29,-0.1937500000000001,0
8,Adam Graves,30,3.0062499999999996,0
9,Adam Graves,31,0.20624999999999982,0
10,Adam Graves,32,-2.79375,0
11,Adam Graves,33,-0.09375,0
12,Adam Graves,34,-2.79375,0
0,Adam Hall,22,2.418181818181818,0
1,Adam Hall,23,1.518181818181818,0
2,Adam Hall,25,1.518181818181818,0
