,Unnamed: 0,Rk,Player,Tm,Pos,Age,GP,G,A,+/-,PIM,PS,GW,S,S%,TOI,Year,PTS,Player_season,career_len,age_max,age_min,PPG,PPG_past,PPG_delta,PPG_career,PS_career,Pos_group,PS_career_mean,PS_normalized,career
27110,557,444,Aaron Miller,COL,D,25,56,5,12,15.0,15.0,4.8,3.0,47.0,10.6,,1997,17,3,13,36,22,0.30357142857142855,0.0,0.30357142857142855,0.20236336779911374,31.5,D,2.25,2.55,9
28077,582,445,Aaron Miller,COL,D,26,55,2,2,0.0,51.0,2.1,0.0,29.0,6.9,,1998,4,4,13,36,22,0.07272727272727272,0.30357142857142855,-0.23084415584415582,0.20236336779911374,31.5,D,2.25,-0.1499999999999999,9
29093,641,469,Aaron Miller,COL,D,27,76,5,13,3.0,42.0,3.7,2.0,87.0,5.7,1658.0,1999,18,5,13,36,22,0.23684210526315788,0.07272727272727272,0.16411483253588516,0.20236336779911374,31.5,D,2.25,1.4500000000000002,9
30130,639,489,Aaron Miller,COL,D,28,53,1,7,3.0,36.0,2.3,0.0,44.0,2.3,1012.0,2000,8,6,13,36,22,0.1509433962264151,0.23684210526315788,-0.08589870903674279,0.20236336779911374,31.5,D,2.25,0.04999999999999982,9
31170,640,517,Aaron Miller,TOT,D,29,69,4,14,22.0,43.0,4.9,0.0,59.0,6.8,1327.0,2001,36,7,13,36,22,0.5217391304347826,0.1509433962264151,0.37079573420836753,0.20236336779911374,31.5,D,2.25,2.6500000000000004,9
32243,653,510,Aaron Miller,LAK,D,30,74,5,12,14.0,54.0,6.1,3.0,75.0,6.7,1654.0,2002,17,8,13,36,22,0.22972972972972974,0.5217391304347826,-0.2920094007050529,0.20236336779911374,31.5,D,2.25,3.8499999999999996,9
33341,668,518,Aaron Miller,LAK,D,31,49,1,5,-7.0,24.0,1.5,0.0,34.0,2.9,1053.0,2003,6,9,13,36,22,0.12244897959183673,0.22972972972972974,-0.10728075013789301,0.20236336779911374,31.5,D,2.25,-0.75,9
34431,659,516,Aaron Miller,LAK,D,32,35,1,2,-3.0,32.0,0.8,0.0,26.0,3.8,665.0,2004,3,10,13,36,22,0.08571428571428572,0.12244897959183673,-0.03673469387755102,0.20236336779911374,31.5,D,2.25,-1.45,9
35496,592,484,Aaron Miller,LAK,D,34,56,0,8,-6.0,27.0,1.1,0.0,32.0,0.0,1033.0,2006,8,11,13,36,22,0.14285714285714285,0.08571428571428572,0.057142857142857134,0.20236336779911374,31.5,D,2.25,-1.15,9
27455,915,716,Aaron Ward,DET,D,24,49,2,5,-9.0,52.0,2.0,0.0,40.0,5.0,,1997,7,2,14,37,21,0.14285714285714285,1.0,-0.8571428571428572,0.21454112038140644,34.1,D,2.2733333333333334,-0.27333333333333343,10
28404,922,706,Aaron Ward,DET,D,25,52,5,5,-1.0,47.0,2.8,1.0,47.0,10.6,,1998,10,3,14,37,21,0.19230769230769232,0.14285714285714285,0.04945054945054947,0.21454112038140644,34.1,D,2.2733333333333334,0.5266666666666664,10
29445,1007,758,Aaron Ward,DET,D,26,60,3,8,-5.0,52.0,1.8,0.0,46.0,6.5,835.0,1999,11,4,14,37,21,0.18333333333333332,0.19230769230769232,-0.008974358974358998,0.21454112038140644,34.1,D,2.2733333333333334,-0.4733333333333334,10
30489,1013,783,Aaron Ward,DET,D,27,36,1,3,-4.0,24.0,0.6,0.0,25.0,4.0,453.0,2000,4,5,14,37,21,0.1111111111111111,0.18333333333333332,-0.07222222222222222,0.21454112038140644,34.1,D,2.2733333333333334,-1.6733333333333333,10
