,Unnamed: 0,Rk,Player,Tm,Pos,Age,GP,G,A,+/-,PIM,PS,GW,S,S%,TOI,Year,PTS,Player_season,career_len,age_max,age_min,PPG,PPG_past,PPG_delta,PPG_career,PS_career,Pos_group,PS_career_mean,PS_normalized,career
15344,63,58,Aaron Broten,NJD,C,22,73,16,39,-21.0,28.0,3.0,1.0,126.0,12.7,,1983,55,2,11,31,20,0.7534246575342466,0.6724137931034483,0.0810108644307983,0.7620320855614974,31.0,FWD,2.5833333333333335,0.4166666666666665,9
16004,70,59,Aaron Broten,NJD,C,23,80,13,23,-29.0,36.0,1.0,1.0,103.0,12.6,,1984,36,3,11,31,20,0.45,0.7534246575342466,-0.3034246575342466,0.7620320855614974,31.0,FWD,2.5833333333333335,-1.5833333333333335,9
16712,62,55,Aaron Broten,NJD,LW,24,80,22,35,-18.0,38.0,3.3,2.0,169.0,13.0,,1985,57,4,11,31,20,0.7125,0.45,0.2625,0.7620320855614974,31.0,FWD,2.5833333333333335,0.7166666666666663,9
17385,71,53,Aaron Broten,NJD,LW,25,66,18,25,2.0,26.0,2.4,1.0,157.0,11.5,,1986,43,5,11,31,20,0.6515151515151515,0.7125,-0.06098484848484853,0.7620320855614974,31.0,FWD,2.5833333333333335,-0.18333333333333357,9
18116,72,56,Aaron Broten,NJD,LW,26,80,26,53,4.0,36.0,5.9,3.0,179.0,14.5,,1987,79,6,11,31,20,0.9875,0.6515151515151515,0.33598484848484855,0.7620320855614974,31.0,FWD,2.5833333333333335,3.316666666666667,9
18829,69,58,Aaron Broten,NJD,LW,27,80,26,57,20.0,80.0,6.6,4.0,180.0,14.4,,1988,83,7,11,31,20,1.0375,0.9875,0.050000000000000044,0.7620320855614974,31.0,FWD,2.5833333333333335,4.016666666666666,9
19613,68,54,Aaron Broten,NJD,C,28,80,16,43,-7.0,81.0,3.1,2.0,178.0,9.0,,1989,59,8,11,31,20,0.7375,1.0375,-0.30000000000000004,0.7620320855614974,31.0,FWD,2.5833333333333335,0.5166666666666666,9
20408,66,55,Aaron Broten,TOT,C,29,77,19,17,-23.0,58.0,1.5,2.0,148.0,12.8,,1990,72,9,11,31,20,0.935064935064935,0.7375,0.197564935064935,0.7620320855614974,31.0,FWD,2.5833333333333335,-1.0833333333333335,9
21179,63,56,Aaron Broten,TOT,LW,30,47,11,8,9.0,38.0,1.5,1.0,85.0,12.9,,1991,38,10,11,31,20,0.8085106382978723,0.935064935064935,-0.12655429676706276,0.7620320855614974,31.0,FWD,2.5833333333333335,-1.0833333333333335,9
50718,84,78,Ab McDonald,MTL,LW,22,69,13,23,,35.0,2.8,1.0,,,,1959,36,8,13,35,22,0.5217391304347826,0.2631578947368421,0.2585812356979405,0.5643044619422573,35.3,FWD,2.5214285714285714,0.27857142857142847,11
50852,87,82,Ab McDonald,MTL,LW,23,68,9,13,1.0,26.0,1.1,0.0,104.0,8.7,,1960,22,9,13,35,22,0.3235294117647059,0.5217391304347826,-0.1982097186700767,0.5643044619422573,35.3,FWD,2.5214285714285714,-1.4214285714285713,11
51004,97,88,Ab McDonald,CBH,LW,24,61,17,16,24.0,22.0,2.8,2.0,136.0,12.5,,1961,33,10,13,35,22,0.5409836065573771,0.3235294117647059,0.2174541947926712,0.5643044619422573,35.3,FWD,2.5214285714285714,0.27857142857142847,11
51163,96,89,Ab McDonald,CBH,LW,25,65,22,18,4.0,8.0,3.7,4.0,159.0,13.8,,1962,40,11,13,35,22,0.6153846153846154,0.5409836065573771,0.07440100882723832,0.5643044619422573,35.3,FWD,2.5214285714285714,1.1785714285714288,11
51301,95,90,Ab McDonald,CBH,LW,26,69,20,41,21.0,12.0,5.3,4.0,174.0,11.5,,1963,61,12,13,35,22,0.8840579710144928,0.6153846153846154,0.2686733556298774,0.5643044619422573,35.3,FWD,2.5214285714285714,2.7785714285714285,11
51459,109,96,Ab McDonald,CBH,LW,27,70,14,32,21.0,17.0,4.0,3.0,193.0,7.3,,1964,46,13,13,35,22,0.6571428571428571,0.8840579710144928,-0.22691511387163565,0.5643044619422573,35.3,FWD,2.5214285714285714,1.4785714285714286,11
7477,107,92,Ab McDonald,BOS,LW,28,60,9,9,-28.0,6.0,0.4,3.0,104.0,8.7,,1965,18,0,13,35,22,0.3,,,0.5643044619422573,35.3,FWD,2.5214285714285714,-2.1214285714285714,11
7652,114,99,Ab McDonald,DET,LW,29,43,6,16,13.0,6.0,1.2,0.0,70.0,8.6,,1966,22,1,13,35,22,0.5116279069767442,0.3,0.21162790697674422,0.5643044619422573,35.3,FWD,2.5214285714285714,-1.3214285714285714,11
8071,199,170,Ab McDonald,PIT,LW,31,74,22,21,-4.0,38.0,4.0,2.0,185.0,11.9,,1968,43,3,13,35,22,0.581081081081081,0.16666666666666666,0.4144144144144144,0.5643044619422573,35.3,FWD,2.5214285714285714,1.4785714285714286,11
8401,202,171,Ab McDonald,STL,LW,32,68,21,21,18.0,12.0,4.3,4.0,138.0,15.2,,1969,42,4,13,35,22,0.6176470588235294,0.581081081081081,0.03656597774244841,0.5643044619422573,35.3,FWD,2.5214285714285714,1.7785714285714285,11
8726,192,167,Ab McDonald,STL,LW,33,64,25,30,12.0,8.0,6.2,4.0,170.0,14.7,,1970,55,5,13,35,22,0.859375,0.6176470588235294,0.24172794117647056,0.5643044619422573,35.3,FWD,2.5214285714285714,3.678571428571429,11
8883,19,12,Ace Bailey,BOS,LW,22,36,0,6,2.0,44.0,-0.9,0.0,33.0,0.0,,1971,6,2,9,29,20,0.16666666666666666,0.3793103448275862,-0.21264367816091953,0.7095070422535211,13.5,FWD,1.35,-2.25,8
9300,9,10,Ace Bailey,BOS,LW,23,73,9,13,11.0,64.0,0.6,0.0,64.0,14.1,,1972,22,3,9,29,20,0.3013698630136986,0.16666666666666666,0.13470319634703196,0.7095070422535211,13.5,FWD,1.35,-0.7500000000000001,8
9727,9,8,Ace Bailey,TOT,LW,24,70,10,24,8.0,105.0,1.5,1.0,95.0,10.5,,1973,68,4,9,29,20,0.9714285714285714,0.3013698630136986,0.6700587084148728,0.7095070422535211,13.5,FWD,1.35,0.1499999999999999,8
